asin,first_three_words,shortened_product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B08CFSZLQ4,Google Pixel 4a,Google Pixel 4a - Unlocked And,$159.99 ,$179.99 ,USD,4.5,10417,15,$149.99 ,200+ bought in past month,"FREE delivery Sep 23 - 24 Or fastest delivery Tomorrow, Sep 20"
B09BFRV59N,SAMSUNG Galaxy S21,SAMSUNG Galaxy S21 FE 5G Cell ,$319.95 ,$348.28 ,USD,4.5,14909,1,$319.95 ,200+ bought in past month,"FREE delivery Thu, Sep 26 Only 4 left in stock - order soon."
B08Y727NMK,OnePlus 9 Winter,"OnePlus 9 Winter Mist, 5G Unlo",$188.89 ,$599.99 ,USD,4.2,1039,1,$188.89 ,200+ bought in past month,"FREE delivery Thu, Sep 26"
B09Q7JLN13,SIMBROS Radiant Core,SIMBROS Radiant Core Phone At&,$39.99 ,$49.99 ,USD,3.0,58,1,$39.99 ,50+ bought in past month,"FREE delivery Tue, Sep 24"
B01LZV2HVG,Panasonic Amplified Cordless,Panasonic Amplified Cordless P,$103.76 ,$119.99 ,USD,4.3,1452,25,$49.99 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B07D2BHBYR,AT&amp;T CL84107 DECT,AT&amp;T CL84107 DECT 6.0 Expa,$76.95 ,$88.14 ,USD,4.4,5154,5,$32.95 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B088XZFKJ5,Samsung Galaxy A20,Samsung Galaxy A20 32GB 6.4&qu,$91.75 ,$199.95 ,USD,3.9,641,17,$56.10 ,100+ bought in past month,"FREE delivery Sat, Sep 21 Only 3 left in stock - order soon."
B07H8PXT7K,Samsung Galaxy Note,"Samsung Galaxy Note 9, 128GB, ",$183.00 ,$198.00 ,USD,4.3,3281,6,$156.00 ,100+ bought in past month,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25
B0D1ZFS9GH,Moto G Stylus,Moto G Stylus 5G | 2024 | Unlo,$349.99 ,$399.99 ,USD,4.3,55,3,$335.72 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B0CHN7M531,"OnePlus Open, 16GB","OnePlus Open, 16GB RAM+512GB, ","$1,299.99 ","$1,699.99 ",USD,4.1,218,4,"$1,138.07 ",200+ bought in past month,"FREE delivery Tue, Sep 24"
B0CCSF3WML,Straight Talk Apple,Straight Talk Apple iPhone 7 3,$83.00 ,$98.99 ,USD,3.8,67,4,$82.17 ,200+ bought in past month,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25
B09V1NGFN4,SAMSUNG Galaxy S22,SAMSUNG Galaxy S22 128 GB Gree,$235.90 ,$250.00 ,USD,4.0,807,27,$199.50 ,400+ bought in past month,"FREE delivery Tue, Sep 24 Or fastest delivery Sat, Sep 21"
B06X1B444W,VTech Connect to,VTech Connect to Cell DS6771-3,$98.25 ,$109.99 ,USD,4.1,2542,25,$34.63 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B01K5N4QEM,Panasonic Expandable Cordless,Panasonic Expandable Cordless ,$31.49 ,$34.99 ,USD,4.3,2060,21,$14.19 ,100+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0929127RH,VTech IS8121-3 Super,VTech IS8121-3 Super Long Rang,$76.56 ,$80.58 ,USD,4.2,4051,3,$48.26 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B0CHYBX2L4,Blackview Rugged Smartphone,Blackview Rugged Smartphone Un,$169.99 ,$199.99 ,USD,4.1,214,1,$169.99 ,50+ bought in past month,"FREE delivery Tue, Sep 24 Only 16 left in stock - order soon."
B0858974Q2,SAMSUNG Galaxy A10e,SAMSUNG Galaxy A10e GSM Unlock,$69.00 ,$74.99 ,USD,3.8,1199,16,$67.69 ,50+ bought in past month,"FREE delivery Sat, Sep 21 Only 13 left in stock - order soon."
B0757B9VFG,VTech AM18447 Main,VTech AM18447 Main Console 4-L,$149.95 ,$164.95 ,USD,4.3,1161,6,$55.94 ,300+ bought in past month,"FREE delivery Thu, Sep 26 Or fastest delivery Tue, Sep 24"
