asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B08HKRVZ4W,"Samsung Galaxy Note 20 5G (128GB, 8GB) 6.7&quot; AMOLED+, Snapdragon 865, Global 5G VoLTE (Fully Unlocked for AT&amp;T, Verizon, Sprint, Metro) N981U (Mystic Bronze) (Renewed)",$225.00 ,$598.98 ,USD,4.3,940,19,$190.95 ,400+ bought in past month,"FREE delivery Thu, Sep 26 Or fastest delivery Tomorrow, Sep 20"
B00FRS8UKM,"VTech CS6719-16 DECT 6.0 Phone with Caller ID/Call Waiting, 1 Cordless Handset, Red",$20.23 ,$21.95 ,USD,4.4,37768,6,$10.99 ,300+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B07BZV9DST,"VTech DS6151-2 2 Handset 2-Line Cordless Phone System for Home or Small Business with Digital Answering System &amp; Mailbox on each line, Silver",$96.87 ,$109.95 ,USD,4.1,1173,21,$36.35 ,600+ bought in past month,"FREE delivery Fri, Sep 27"
B0CMPLN52T,"Apple iPhone 15, 128GB, Pink - Unlocked (Renewed)",$620.05 ,$661.99 ,USD,4.4,566,21,$615.99 ,200+ bought in past month,FREE delivery Sep 24 - 25 Only 1 left in stock - order soon.
B08CFSZLQ4,Google Pixel 4a - Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,$159.99 ,$179.99 ,USD,4.5,10417,15,$149.99 ,200+ bought in past month,"FREE delivery Sep 23 - 24 Or fastest delivery Tomorrow, Sep 20"
B09BFRV59N,"SAMSUNG Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display Screen, Pro Grade Camera, All Day Intelligent Battery, US Version, 2022, White",$319.95 ,$348.28 ,USD,4.5,14909,1,$319.95 ,200+ bought in past month,"FREE delivery Thu, Sep 26 Only 4 left in stock - order soon."
B08Y727NMK,"OnePlus 9 Winter Mist, 5G Unlocked Android Smartphone U.S Version, 8GB RAM+128GB Storage, 120Hz Fluid Display, Hasselblad Triple Camera, 65W Ultra Fast Charge, 15W Wireless Charge, with Alexa Built-in",$188.89 ,$599.99 ,USD,4.2,1039,1,$188.89 ,200+ bought in past month,"FREE delivery Thu, Sep 26"
B09Q7JLN13,SIMBROS Radiant Core Phone At&amp;t Unlocked u304aa 4g 5.5in 16GB Smart Phone simkey -Unlocked to Work on All GSM Carriers Like At&amp;t T-Mobile &amp; Cricket -Not for Verizon,$39.99 ,$49.99 ,USD,3.0,58,1,$39.99 ,50+ bought in past month,"FREE delivery Tue, Sep 24"
B01LZV2HVG,"Panasonic Amplified Cordless Phone with Slow Talk, 40dB Volume Boost, 100dB Loud Visual Ringer, Hearing Aid Compatibility, Large Screen and Backlit Keypad - KX-TGM420W - 1 Handset (White)",$103.76 ,$119.99 ,USD,4.3,1452,25,$49.99 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B07D2BHBYR,"AT&amp;T CL84107 DECT 6.0 Expandable Corded/Cordless Phone with Smart Call Blocker, Black/Silver with 1 Handset",$76.95 ,$88.14 ,USD,4.4,5154,5,$32.95 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B088XZFKJ5,Samsung Galaxy A20 32GB 6.4&quot; Display A205U Black Unlocked Smartphone (Renewed),$91.75 ,$199.95 ,USD,3.9,641,17,$56.10 ,100+ bought in past month,"FREE delivery Sat, Sep 21 Only 3 left in stock - order soon."
B07H8PXT7K,"Samsung Galaxy Note 9, 128GB, Lavender Purple - Unlocked (Renewed)",$183.00 ,$198.00 ,USD,4.3,3281,6,$156.00 ,100+ bought in past month,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25
B0D1ZFS9GH,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,$349.99 ,$399.99 ,USD,4.3,55,3,$335.72 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B0CHN7M531,"OnePlus Open, 16GB RAM+512GB, Dual-SIM, Voyager Black, US Factory Unlocked Android Smartphone, 4805 mAh Battery, 67W Fast Charging, Hasselblad Camera, 120Hz Fluid Display","$1,299.99 ","$1,699.99 ",USD,4.1,218,4,"$1,138.07 ",200+ bought in past month,"FREE delivery Tue, Sep 24"
B0CCSF3WML,Straight Talk Apple iPhone 7 32GB - Silver,$83.00 ,$98.99 ,USD,3.8,67,4,$82.17 ,200+ bought in past month,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25
B09V1NGFN4,SAMSUNG Galaxy S22 128 GB Green,$235.90 ,$250.00 ,USD,4.0,807,27,$199.50 ,400+ bought in past month,"FREE delivery Tue, Sep 24 Or fastest delivery Sat, Sep 21"
